664.99936 92.00024000000002 
769.99936 248.00024000000002 
728.99936 133.00024000000002 1
626.99936 144.00024000000002 1
542.99936 41.00024000000002 1
528.99936 227.00024000000002 1
579.99936 314.00024 1
616.99936 411.00024 1
439.99936 211.00024000000002 0
450.99936 311.00024 1
456.99936 413.00024 1
155.99936000000002 34.00024000000002 1
139.99936000000002 183.00024000000002 1
104.99936000000002 326.00024 1
145.99936000000002 441.00024 1
91.99936000000002 174.00024000000002 0
45.999360000000024 288.00024 1
8.999360000000024 435.00024 1
