385.0515463917526 53.382716049382715 
445.9407216494846 143.90123456790124 
422.1649484536083 77.17283950617285 1
363.0154639175258 83.55555555555556 1
314.30412371134025 23.790123456790123 1
306.1855670103093 131.71604938271605 1
335.7603092783505 182.19753086419755 1
357.21649484536084 238.4814814814815 1
254.57474226804126 122.4320987654321 0
260.9536082474227 180.45679012345678 1
264.4329896907217 239.64197530864197 1
89.8840206185567 19.728395061728396 1
80.60567010309279 106.18518518518519 1
60.30927835051547 189.1604938271605 1
84.08505154639175 255.88888888888889 1
52.77061855670104 100.96296296296296 0
26.09536082474227 167.11111111111111 1
4.639175257731959 252.40740740740742 1
